"","purchaseId","customer","n_items","value","region","office","predictor","profit"
"1",1,42,10,1384.21938387676,"SA",3,92039.425577326,-4.83426806270563
"3",3,17,10,1165.31540567244,"EU",3,45681.4545618477,-154.831658715984
"5",5,86,8,995.228225909107,"SA",2,11678.4949338636,-90.4076823830816
"6",6,41,10,1689.68699763036,"Asia",3,2303.80758904573,376.293933798012
"8",8,34,6,921.54535562952,"EU",4,74786.3931154723,59.2268175767002
"9",9,6,6,957.904819908718,"SA",4,24049.614431941,140.192558898724
"11",11,96,11,1495.23373353598,"Asia",2,66429.5727952947,-0.236940452134832
"12",12,12,10,1074.134892628,"Asia",1,13642.8857307555,10.2644650401221
"14",14,71,11,1747.75188340751,"Asia",3,81140.9136255844,275.928161668729
"15",15,32,6,525.683857820246,"EU",2,73016.7203872413,-300.705769762674
"17",17,66,10,1675.38438211541,"Asia",4,14515.4652556591,351.824040763372
"18",18,86,8,1444.18246424457,"Asia",3,11098.845653106,306.07848701414
"19",19,24,11,1613.43990832475,"Asia",3,96182.0226563774,62.7503832778489
"20",20,24,13,2016.14021558746,"SA",2,46134.4021891009,229.61252532727
"23",23,1,5,774.694856427323,"Asia",1,38470.909621215,312.681727787356
"24",24,80,5,605.063002391522,"Asia",4,31521.2699254572,-62.9050370701752
"25",25,2,6,812.019302459887,"NA",2,72131.3801477272,5.63040191597793
"26",26,13,6,579.407122078251,"Asia",2,95452.3652119408,-264.585350507684
"28",28,6,7,817.619537435518,"SA",2,93577.2497550433,-139.334752044116
"30",30,94,11,938.718031219801,"Asia",1,42870.1145630765,-297.973395549811
"32",32,45,11,1868.01233256334,"Asia",2,71565.6875275047,332.27618112657
"34",34,19,12,1688.49664456064,"Asia",4,86051.5948560052,120.736638694309
"35",35,80,6,971.444827719786,"Asia",2,21916.9090889648,184.980370995492
"37",37,92,11,1384.73617437365,"NA",3,73607.1009811645,-43.2684843825482
"38",38,94,12,1706.01676815533,"Asia",4,12604.5433882554,158.286984090468
"39",39,41,10,1540.88569572356,"SA",4,3608.55213653203,208.611878671642
"40",40,32,6,887.773496099951,"Asia",2,34442.0008390525,88.1062478840784
"41",41,78,5,896.339337837999,"Asia",1,27934.4138954908,368.10153486685
"44",44,98,13,1376.33001302477,"Asia",4,27835.7804171692,-392.828169253412
"45",45,15,10,823.227819727516,"Asia",2,8492.4471211913,-539.942199222557
"46",46,38,9,1014.57359891649,"Asia",2,29005.2204445959,-260.612795168361
"47",47,53,5,565.721148265046,"Asia",2,30263.2112270168,-159.684766419705
"48",48,33,7,972.243755933519,"SA",4,67340.1032657514,16.409617624861
"50",50,40,10,1094.55230059672,"Asia",3,18979.6483894244,-240.493985020135
"51",51,47,13,2187.8279223607,"Asia",1,15557.805493162,605.616714620166
"53",53,3,4,653.564118363372,"EU",3,93823.0626028609,76.3890808781642
"55",55,68,11,1438.98766210392,"Asia",3,79030.9612667458,4.08321976135971
"56",56,12,8,1072.64140902824,"Asia",2,69222.1486013441,-15.6069623525311
"57",57,91,8,998.590495514976,"NA",2,99581.1645124995,-119.86677198513
"58",58,45,11,1643.94928122144,"Asia",2,57838.8952448785,216.565688681681
"59",59,61,7,1271.57200191852,"Asia",3,42121.608502371,266.402573383863
"62",62,79,3,346.77261676989,"Asia",1,49764.607941031,41.4113230827936
"64",64,48,13,1995.27579365031,"Asia",3,33636.4831332124,224.960740005849
"65",65,49,12,1165.78022044459,"EU",2,39537.9402538331,-488.103359855876
"66",66,61,8,1208.50406468928,"Asia",2,95181.9385229582,87.4747287598432
"69",69,28,5,915.543142807223,"Asia",3,77203.2745209171,198.124098188303
"71",71,86,7,637.007289936932,"NA",1,81802.1069958627,-153.524172972294
